Vendor,Audit.Status,In.USA.or.OUS,Location,Services.Audited,GxP.Area,Audit.Type,Audit.Method,Proposed.Quarter,VRTX.QA.Coordinator,GxP.Auditor,CSQA.Auditor,TW.Report.Number,Date.of.Intake,Date.Q.sent,Date.Q.Rcvd,Date.On.Site.Scheduled,Audit.Start.Date,Audit.End.Date,Date.Final..Report.Due,Date.of..Completion,Completed,Notes
Vendor1,Not In Scope,OUS,"Bonn, Germany","consulting/cenral budget negotiations for sites lcoated in Germany, Vendor (select studies), and website posting (select studies)",GCP,Qualification,None,Q2,JMD,(Unknown),(Unknown),(Unknown),1/5/17,(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),
Vendor2,Closed,USA,"Princeton, NJ",CRO,GCP,Qualification,On Site,Q1,JMD,MR,DF,22552,1/5/17,(Unknown),(Unknown),(Unknown),2/14/17,2/16/17,3/15/17,3/16/17,Delayed ,
Vendor3,Pending,OUS,"Munich, Germany",(Unknown),GCP,Qualification,TBD,Q3,JMD,(Unknown),(Unknown),(Unknown),1/5/17,(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),
Vendor4,Completed,USA,"Indianapolis, IN","Life cycle of data during the sample processing stages; Study start up; Translation of protocols into lab tests and how they are performed, documented, and managed; Global processes and harmonization between other Vendor sites; Linkage of systems at other Vendor labs and usage of a centralized system for data; Robust process in place for third party labs and oversight of transferring samples at different locations; Tech transfer process; Sample management",GCP,Qualification,On Site,Q1,JMD,MR,AA,(Unknown),1/5/17,(Unknown),(Unknown),6/5/17,7/12/17,7/13/17,8/12/17,8/11/17,On-time,
Vendor5,Closed,OUS,"Heidelberg, Germany",(Unknown),GCP,Qualification,On Site,Q1,JMD,PK,DF,22501,1/13/17,(Unknown),(Unknown),(Unknown),2/7/17,2/8/17,3/10/17,3/10/17,On-time,
Vendor6,Closed,OUS,"Ontaria, Canada", Registry Database,GCP,Qualification,Questionnaire,Q1,JMD,JO,LG,22620,1/13/17,1/19/17,2/1/17,(Unknown),(Unknown),(Unknown),3/3/17,3/3/17,On-time,
Vendor7,Closed,OUS,"Oakville, Canada",(Unknown),GCP,Qualification,Questionnaire,Q1,JMD,JO,LG,22372,1/13/17,1/19/17,2/2/17,(Unknown),(Unknown),(Unknown),3/3/17,3/3/17,On-time,
Vendor8,Closed,USA,"Durham, NC",(Unknown),GCP,Requalification,On Site,Q1,JMD,KB,MD,23134,1/13/17,(Unknown),(Unknown),1/13/17,2/20/17,2/23/17,3/25/17,3/24/17,On-time,
Vendor9,Closed,USA,"Mattawan, MI","General Toxicology
Genetic Toxicology
Carcinogenicity
Safety Pharmacology
Analytical
Bioanalytical
Toxicokinetics",GLP,Requalification,On Site,Q2,MM,RD,AK,23135,1/13/17,(Unknown),(Unknown),3/17/17,4/25/17,4/27/17,5/27/17,5/19/17,On-time,
Vendor10,Closed,USA,"Rockville, MD","Genetic Toxicology
Mammalian Toxicology
Clinical Pathology
Safety Pharmacology
Histopathology
Bioanalytical
Analytical
Toxicokinetics",GLP,Requalification,On Site,Q1,MM,RD,DF,22648,1/13/17,(Unknown),(Unknown),3/8/17,3/21/17,3/23/17,4/22/17,4/21/17,On-time,
Vendor11,Not In Scope,USA,"Ashland, OH","General Toxicology
Genetic Toxicology
Carcinogenicity
Safety Pharmacology
Analytical
Bioanalytical",GLP,Requalification,None,Q1,MM,(Unknown),TBD,(Unknown),1/13/17,(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),
Vendor12,Closed,USA,"Emeryville, CA",(Unknown),GVP,Qualification,Questionnaire,Q1,DL,(Unknown),LG,22379,1/25/17,1/26/17,3/23/17,(Unknown),(Unknown),(Unknown),4/22/17,4/10/17,On-time,
Vendor13,Closed,OUS,"Prague, Czech Republic",(Unknown),GVP,Qualification,Questionnaire,Q1,DL,(Unknown),LG,22192,1/25/17,1/26/17,3/1/17,(Unknown),(Unknown),(Unknown),4/1/17,4/4/17,Delayed ,
Vendor14,Closed,OUS,"Petach Tikva, Israel",(Unknown),GVP,Qualification,Questionnaire,Q1,DL,(Unknown),LG,22203,1/25/17,1/27/17,2/28/17,(Unknown),(Unknown),(Unknown),3/30/17,4/4/17,Delayed ,
Vendor15,Closed,OUS,"Richmond, United Kingdom",(Unknown),GVP,Qualification,Questionnaire,Q1,DL,(Unknown),LG,22381,1/25/17,1/26/17,3/2/17,(Unknown),(Unknown),(Unknown),4/1/17,4/10/17,Delayed ,
Vendor16,Closed,OUS,"Chandigah, India",(Unknown),GVP,Qualification,Questionnaire,Q1,DL,(Unknown),LG,22223,1/25/17,1/26/17,3/8/17,(Unknown),(Unknown),(Unknown),4/7/17,3/23/17,On-time,
Vendor17,Closed,OUS,"Auckland, New Zealand",(Unknown),GVP,Qualification,Questionnaire,Q1,DL,(Unknown),LG,22380,1/25/17,1/26/17,3/8/17,(Unknown),(Unknown),(Unknown),4/7/17,4/27/17,Delayed ,
Vendor18,Not In Scope,OUS,"Vincenza, Italy","Raw Material Mfg., Starting Material Mfg., DS Intermediate and/or DS Mfg., DP Intermediate and/or DP Mfg., Analytical Services, Microbiology Services Stability Testing Services, Packaging & Labeling Mfg., Warehouse & Distribution,  Test Articles, Reference Standard",GMP,Requalification,None,Q1,GN,(Unknown),(Unknown),(Unknown),2/8/17,(Unknown),(Unknown),2/7/17,2/21/17,2/24/17,3/26/17,(Unknown),(Unknown),
Vendor19,Not In Scope,OUS,"Ponte Cremenaga, Swizerland","Spray Dried Dispersion
Dry Powder Inhaler Characterization",GMP,Qualification,None,Q1,GN,(Unknown),(Unknown),(Unknown),2/8/17,(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),
Vendor20,In Progress,OUS,"Dudley, United Kingdom","Raw Material Mfg., Starting Material Mfg., DS Intermediate and/or DS Mfg., Analytical Services,  Microbiology Services, Stability Testing Services, Packaging & Labeling Mfg., Warehouse & Distribution, Test Articles, Reference Standard",GMP,Requalification,On Site,Q1,GN,TB,TB,21871,2/8/17,(Unknown),(Unknown),5/4/17,5/10/17,5/10/17,6/9/17,(Unknown),(Unknown),
Vendor21,In Progress,USA,"Malvern, PA","DS Intermediate and/or DS Mfg., Analytical Services, Warehouse & Distribution, Test Articles, Reference Standard",GMP,Requalification,On Site,Q1,GN,RN,DF,21875,2/8/17,(Unknown),(Unknown),5/4/17,6/12/17,6/13/17,7/13/17,(Unknown),(Unknown),
Vendor22,Completed,USA,"Bensenville, IL","Warehouse & Distribution, Brokerage / Transportation",GDP,Qualification,On Site,Q1,GN,LDS,CR,21876,2/8/17,(Unknown),(Unknown),Week of 20 Feb,2/20/17,2/21/17,3/23/17,3/23/17,On-time,
Vendor23,Completed,USA,"High Point, NC","Raw Material Mfg., Starting Material Mfg., DS Intermediate and/or DS Mfg., Analytical Services, Microbiology Services, Stability Testing Services, Packaging & Labeling Mfg., Warehouse & Distribution;  Test Articles, Reference Standard",GMP,Requalification,On Site,Q2,GN,LDS,DF,21879,2/8/17,(Unknown),(Unknown),3/24/17,4/3/17,4/4/17,5/4/17,5/4/17,On-time,
Vendor24,In Progress,USA,"Charles City, IA ","Raw Material Mfg., Starting Material Mfg., DS Intermediate and/or DS Mfg., Analytical Services, Microbiology Services, Stability Testing Services, Packaging & Labeling Mfg., Warehouse & Distribution",GMP,Qualification,On Site,Q2,GN,LDS,AA,21880,2/8/17,4/20/17,(Unknown),5/4/17,6/20/17,6/21/17,7/21/17,(Unknown),(Unknown),
Vendor25,In Progress,OUS,"Tokyo, Japan","Raw Material Mfg., Starting Matertial Mfg., DS Intermediate and/or DS Mfg., Analytical Services, Microbiology Services, Stability Testing Services, Packaging & Labeling Mfg., Warehouse & Distribution",GMP,Qualification,On Site,Q2,GN,TB,TB,22033,2/8/17,(Unknown),(Unknown),5/4/17,6/26/17,6/27/17,7/27/17,(Unknown),(Unknown),
Vendor26,Pending,OUS,"Jiuzhou, China","Raw Material Mfg., Starting Material Mfg., DS Intermediate and/or DS Mfg., Analytical Services, Microbiology Services, Stability Testing Services, Packaging & Labeling Mfg., Warehouse & Distribution",GMP,Qualification,On Site,Q2,GN,TB,TB,(Unknown),2/8/17,(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),
Vendor27,Pending,OUS,"Goa, India","Raw Material Mfg., Starting Material Mfg., DS Intermediate and/or DS Mfg., Analytical Services, Microbiology Services, Stability Testing Services, Packaging & Labeling Mfg., Warehouse & Distribution",GMP,Qualification,On Site,Q2,GN,TB,TB,(Unknown),2/8/17,(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),
Vendor28,Not In Scope,USA,"Secaucus, NJ","Comparator/co-medication purchase;
ability to outsource placebo development and manufacturing to a third party",GMP,Qualification,None,Q2,GN,(Unknown),(Unknown),(Unknown),2/8/17,(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),(Unknown),
