 PIP , Quality Score , Process Days , Project Cost 
1,454,22,37094
2,846,6,391023
3,272,18,24627
4,472,14,91313
5,229,5,329966
6,1042,17,384108
7,630,16,207321
8,269,13,298595
9,1057,11,51702
10,880,23,125707
11,154,7,204467
12,495,26,236270
13,85,3,99363
14,582,24,163412
15,786,23,261295
16,501,6,285705
17,311,14,129376
18,596,5,254260
19,487,17,87277
20,628,7,399023
21,302,20,243549
22,823,10,157792
23,958,30,341163
24,718,9,401416
25,1036,10,82913
26,797,22,402796
27,679,30,293106
28,332,3,230087
29,337,2,195587
30,727,17,418032
31,292,23,198488
32,436,28,209837
33,889,30,74880
34,733,27,347405
35,926,5,150124
36,167,13,403180
37,237,26,445790
38,616,20,439487
39,867,2,312558
40,111,3,247820
41,1053,5,157706
42,1088,28,335744
43,256,24,447123
44,213,30,175867
45,738,26,100238
46,940,30,290837
47,834,17,48657
48,446,29,104355
49,960,19,312533
50,500,14,323414
