Jusidiction,States,2015 Households Without Vehicles,2016 Households Without Vehicles,2015 Vehicles per Household,2016 Vehicles per Household,,,,,
Abilene, Texas,0.054,0.08,1.71,1.69,,,,,
Akron, Ohio,0.145,0.129,1.42,1.46,,,,,
Albuquerque, New Mexico,0.085,0.069,1.69,1.75,,,,,
Alexandria, Virginia,0.101,0.1,1.38,1.34,,,,,
Allentown, Pennsylvania,0.192,0.169,1.31,1.33,,,,,
Amarillo, Texas,0.061,0.042,1.73,1.81,,,,,
Anaheim, California,0.057,0.052,2.01,2.05,,,,,
Anchorage, Alaska,0.068,0.061,1.84,1.95,,,,,
Ann Arbor, Michigan,0.124,0.115,1.45,1.44,,,,,
Antioch, California,0.057,0.033,2.14,2.24,,,,,
Arden-Arcade, California,0.088,0.096,1.53,1.58,,,,,
Arlington, Texas,0.047,0.037,1.85,1.89,,,,,
Arlington, Virginia,0.134,0.127,1.38,1.4,,,,,
Arvada, Colorado,0.037,0.036,2.04,2.07,,,,,
Athens-Clarke County, Georgia,0.112,0.09,1.52,1.67,,,,,
Atlanta, Georgia,0.152,0.164,1.31,1.28,,,,,
Augusta-Richmond County, Georgia,0.093,0.091,1.68,1.69,,,,,
Aurora, Colorado,0.074,0.063,1.82,1.85,,,,,
Aurora, Illinois,0.04,0.038,1.98,1.94,,,,,
Austin, Texas,0.069,0.06,1.65,1.65,,,,,
Bakersfield, California,0.055,0.061,1.93,1.92,,,,,
Baltimore, Maryland,0.307,0.289,1.08,1.08,,,,,
Baton Rouge, Louisiana,0.104,0.114,1.54,1.55,,,,,
Beaumont, Texas,0.088,0.077,1.57,1.62,,,,,
Bellevue, Washington,0.055,0.069,1.74,1.81,,,,,
Berkeley, California,0.198,0.231,1.29,1.23,,,,,
Billings, Montana,0.049,0.067,2.05,1.91,,,,,
Birmingham, Alabama,0.158,0.123,1.41,1.48,,,,,
Boise City, Idaho,0.047,0.046,1.81,1.7,,,,,
Boston, Massachusetts,0.354,0.338,0.94,0.94,,,,,
Boulder, Colorado,0.081,0.073,1.63,1.72,,,,,
Brandon, Florida,0.037,0.066,1.75,1.69,,,,,
Bridgeport, Connecticut,0.221,0.201,1.37,1.42,,,,,
Broken Arrow, Oklahoma,0.032,0.03,2.03,2,,,,,
Brownsville, Texas,0.076,0.096,1.73,1.73,,,,,
Buffalo, New York,0.3,0.282,1.03,1.08,,,,,
Burbank, California,0.076,0.087,1.65,1.71,,,,,
Cambridge, Massachusetts,0.309,0.368,0.9,0.86,,,,,
Cape Coral, Florida,0.03,0.03,1.72,1.78,,,,,
Carlsbad, California,0.022,0.03,1.99,2.01,,,,,
Carrollton, Texas,0.022,0.025,1.91,1.91,,,,,
Cary, North Carolina,0.024,0.014,1.94,1.89,,,,,
Cedar Rapids, Iowa,0.078,0.059,1.72,1.75,,,,,
Centennial, Colorado,0.026,0.017,2.1,2.15,,,,,
Chandler, Arizona,0.042,0.042,1.82,1.85,,,,,
Charleston, South Carolina,0.082,0.072,1.64,1.55,,,,,
Charlotte, North Carolina,0.074,0.06,1.65,1.71,,,,,
Chattanooga, Tennessee,0.118,0.106,1.53,1.54,,,,,
Chesapeake, Virginia,0.045,0.044,2.02,1.99,,,,,
Chicago, Illinois,0.265,0.275,1.11,1.12,,,,,
Chula Vista, California,0.049,0.049,1.99,2.01,,,,,
Cincinnati, Ohio,0.193,0.212,1.27,1.3,,,,,
Clarksville, Tennessee,0.047,0.024,1.78,1.84,,,,,
Clearwater, Florida,0.106,0.109,1.49,1.45,,,,,
Cleveland, Ohio,0.235,0.237,1.15,1.19,,,,,
Clovis, California,0.055,0.04,1.92,1.98,,,,,
College Station, Texas,0.047,0.063,1.78,1.86,,,,,
Colorado Springs, Colorado,0.058,0.045,1.8,1.85,,,,,
Columbia, Maryland,0.086,0.05,1.72,1.81,,,,,
Columbia, Missouri,0.09,0.055,1.66,1.68,,,,,
Columbia, South Carolina,0.129,0.104,1.47,1.55,,,,,
Columbus, Georgia,0.124,0.086,1.52,1.68,,,,,
Columbus, Ohio,0.098,0.094,1.54,1.55,,,,,
Concord, California,0.069,0.07,1.94,1.86,,,,,
Coral Springs, Florida,0.041,0.051,1.88,1.81,,,,,
Corona, California,0.035,0.026,2.17,2.29,,,,,
Corpus Christi, Texas,0.085,0.079,1.75,1.77,,,,,
Costa Mesa, California,0.06,0.03,1.79,2,,,,,
Dallas, Texas,0.102,0.091,1.56,1.59,,,,,
Daly City, California,0.064,0.086,1.96,1.95,,,,,
Davenport, Iowa,0.095,0.074,1.7,1.66,,,,,
Davie, Florida,0.065,0.032,1.81,1.9,,,,,
Dayton, Ohio,0.222,0.19,1.32,1.39,,,,,
Denton, Texas,0.049,0.031,1.78,1.8,,,,,
Denver, Colorado,0.096,0.094,1.58,1.62,,,,,
Des Moines, Iowa,0.085,0.096,1.7,1.71,,,,,
Detroit, Michigan,0.253,0.247,1.13,1.15,,,,,
Downey, California,0.037,0.021,2.11,2.19,,,,,
Durham, North Carolina,0.098,0.087,1.56,1.63,,,,,
East Los Angeles, California,0.13,0.12,1.6,1.75,,,,,
El Cajon, California,0.104,0.086,1.67,1.73,,,,,
El Monte, California,0.102,0.089,1.83,2.05,,,,,
El Paso, Texas,0.074,0.084,1.79,1.82,,,,,
Elgin, Illinois,0.048,0.051,1.85,1.95,,,,,
Elizabeth, New Jersey,0.283,0.258,1.08,1.17,,,,,
Elk Grove, California,0.034,0.018,2.16,2.21,,,,,
Enterprise, Nevada,0.022,0.043,1.87,1.85,,,,,
Escondido, California,0.08,0.057,1.88,1.95,,,,,
Eugene, Oregon,0.123,0.116,1.54,1.64,,,,,
Evansville, Indiana,0.117,0.115,1.54,1.48,,,,,
Everett, Washington,0.132,0.116,1.64,1.65,,,,,
Fairfield, California,0.048,0.074,2.03,2.01,,,,,
Fargo, North Dakota,0.07,0.088,1.66,1.67,,,,,
Fayetteville, North Carolina,0.089,0.07,1.65,1.64,,,,,
Fontana, California,0.031,0.027,2.37,2.27,,,,,
Fort Collins, Colorado,0.044,0.048,1.89,1.86,,,,,
Fort Lauderdale, Florida,0.088,0.082,1.45,1.49,,,,,
Fort Wayne, Indiana,0.08,0.06,1.65,1.69,,,,,
Fort Worth, Texas,0.061,0.048,1.8,1.83,,,,,
Fremont, California,0.045,0.052,2.1,2.12,,,,,
Fresno, California,0.114,0.124,1.64,1.63,,,,,
Frisco, Texas,0.011,0.02,2.05,2,,,,,
Fullerton, California,0.056,0.055,1.96,2.02,,,,,
Gainesville, Florida,0.104,0.114,1.48,1.44,,,,,
Garden Grove, California,0.053,0.046,2.23,2.19,,,,,
Garland, Texas,0.046,0.044,1.99,2.04,,,,,
Gilbert, Arizona,0.019,0.017,2.04,2.08,,,,,
Glendale, Arizona,0.084,0.09,1.66,1.72,,,,,
Glendale, California,0.117,0.114,1.65,1.67,,,,,
Grand Prairie, Texas,0.038,0.033,2.03,2.03,,,,,
