County,2017 Population,Net Domestic Migration,Domestic Migration Rate,Net International Migration,International Migration Rate,Natural Change
"Abbeville County, SC","24,722",48,1.9,-4,-0.2,-36
"Acadia Parish, LA","62,590",-508,-8.1,59,0.9,239
"Accomack County, VA","32,545",-237,-7.3,66,2,-102
"Ada County, ID","456,849","9,322",20.7,946,2.1,"2,271"
"Adair County, KY","19,485",104,5.4,5,0.3,-2
"Adair County, MO","25,377",20,0.8,68,2.7,69
"Adair County, OK","21,909",-238,-10.8,8,0.4,28
"Adams County, CO","503,167",900,1.8,901,1.8,"3,968"
"Adams County, IL","66,234",-483,-7.3,35,0.5,12
"Adams County, IN","35,491",-162,-4.6,3,0.1,418
"Adams County, MS","31,003",-517,-16.6,128,4.1,-47
"Adams County, NE","31,678",-102,-3.2,30,0.9,93
"Adams County, OH","27,726",-89,-3.2,3,0.1,-19
"Adams County, PA","102,336",567,5.6,73,0.7,18
"Adams County, WA","19,506",-10,-0.5,20,1,234
"Adams County, WI","19,973",95,4.8,5,0.3,-122
"Addison County, VT","36,776",-132,-3.6,68,1.8,-2
"Aiken County, SC","168,179",961,5.7,101,0.6,203
"Aitkin County, MN","15,829",157,9.9,2,0.1,-105
"Alachua County, FL","266,944",334,1.3,"1,390",5.2,882
"Alamance County, NC","162,391","2,653",16.5,188,1.2,219
"Alameda County, CA","1,663,190","-11,730",-7.1,"13,016",7.8,"8,697"
"Alamosa County, CO","16,551",12,0.7,-3,-0.2,86
"Albany County, NY","309,612","-1,205",-3.9,"1,387",4.5,351
"Albany County, WY","38,332",-23,-0.6,173,4.5,195
"Albemarle County, VA","107,702",670,6.3,447,4.2,166
"Alcona County, MI","10,351",73,7,4,0.4,-110
"Alcorn County, MS","37,210",-33,-0.9,8,0.2,-2
"Alexander County, NC","37,286",28,0.8,24,0.6,-34
"Alexandria city, VA","160,035","-1,697",-10.7,"2,412",15.2,"2,048"
"Allamakee County, IA","13,884",-36,-2.6,26,1.9,25
"Allegan County, MI","116,447",987,8.5,73,0.6,437
"Allegany County, MD","71,615",-473,-6.6,84,1.2,-190
"Allegany County, NY","46,894",-331,-7,67,1.4,46
"Alleghany County, NC","11,031",121,11,4,0.4,-39
"Alleghany County, VA","15,122",-128,-8.4,1,0.1,-123
"Allegheny County, PA","1,223,048","-7,835",-6.4,"3,895",3.2,-550
"Allen County, IN","372,877",21,0.1,733,2,"2,167"
"Allen County, KS","12,519",-110,-8.7,8,0.6,-26
"Allen County, KY","20,933",189,9.1,-1,0,15
"Allen County, OH","103,198",-618,-6,22,0.2,168
"Allen Parish, LA","25,621",-116,-4.5,3,0.1,49
"Alpena County, MI","28,462",-113,-4,1,0,-83
"Amador County, CA","38,626","1,217",32,25,0.7,-99
"Amelia County, VA","13,020",183,14.2,0,0,4
"Amherst County, VA","31,594",-66,-2.1,8,0.3,-14
"Amite County, MS","12,447",55,4.4,-1,-0.1,-38
"Anchorage Municipality, AK","294,356","-6,537",-22.1,786,2.7,"2,706"
"Anderson County, KY","22,544",325,14.5,6,0.3,70
"Anderson County, SC","198,759","2,448",12.4,156,0.8,185
"Anderson County, TN","76,257",713,9.4,62,0.8,-98
"Anderson County, TX","57,741",165,2.9,62,1.1,-43
"Andrew County, MO","17,555",191,10.9,-3,-0.2,28
"Andrews County, TX","17,722",-371,-20.9,48,2.7,209
"Androscoggin County, ME","107,651",23,0.2,165,1.5,200
"Angelina County, TX","87,805",-337,-3.8,61,0.7,254
"Anne Arundel County, MD","573,235",756,1.3,"1,077",1.9,"2,498"
"Anoka County, MN","351,373","1,432",4.1,648,1.9,"2,220"
"Anson County, NC","24,991",-98,-3.9,13,0.5,-44
"Antrim County, MI","23,292",279,12,8,0.3,-62
"Apache County, AZ","71,606",-234,-3.3,79,1.1,389
"Appanoose County, IA","12,352",-138,-11.1,1,0.1,-7
"Appling County, GA","18,521",-18,-1,4,0.2,52
"Appomattox County, VA","15,681",181,11.6,-2,-0.1,-2
"Aransas County, TX","25,572",374,14.7,12,0.5,-91
"Arapahoe County, CO","643,052",-648,-1,"2,742",4.3,"4,015"
"Archuleta County, CO","13,315",438,33.5,8,0.6,31
"Arenac County, MI","15,045",-4,-0.3,-1,-0.1,-75
"Arkansas County, AR","17,967",-272,-15,13,0.7,10
"Arlington County, VA","234,965",-947,-4.1,"2,296",9.8,"2,011"
"Armstrong County, PA","65,642",-165,-2.5,2,0,-323
"Aroostook County, ME","67,653",-333,-4.9,38,0.6,-168
"Ascension Parish, LA","122,948",553,4.5,102,0.8,808
"Ashe County, NC","26,957",311,11.6,22,0.8,-129
"Ashland County, OH","53,628",86,1.6,89,1.7,40
"Ashland County, WI","15,500",-145,-9.3,6,0.4,4
"Ashley County, AR","20,283",-174,-8.5,-5,-0.2,-36
"Ashtabula County, OH","97,807",-412,-4.2,76,0.8,-24
"Asotin County, WA","22,535",284,12.7,-20,-0.9,-39
"Assumption Parish, LA","22,526",-276,-12.2,21,0.9,25
"Atascosa County, TX","48,981",28,0.6,18,0.4,272
"Atchison County, KS","16,332",-78,-4.8,-2,-0.1,38
"Athens County, OH","66,597",-107,-1.6,326,4.9,58
"Atlantic County, NJ","269,918","-2,630",-9.7,"1,609",6,104
"Atoka County, OK","13,887",-82,-5.9,8,0.6,36
