id,country,state,neighbourhood_cleansed,property_type,square_meters,price,room_type,bathrooms,bedrooms,beds
3363954,Australia,NSW,BALLINA SHIRE COUNCIL,House,0.00,"$2,900.00 ",Entire home/apt,3,4,4
13048065,Australia,NSW,BALLINA SHIRE COUNCIL,House,1.55,$28.00 ,Private room,1,1,1
1451202,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,15.00,$141.00 ,Entire home/apt,1,1,1
2345959,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.71,$50.00 ,Private room,4,4,3
26087141,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.14,$52.00 ,Private room,1,1,1
26314590,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.14,$50.00 ,Private room,1,1,1
17031042,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.51,$45.00 ,Private room,1,1,2
21080873,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.78,$50.00 ,Private room,1,1,1
15473801,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.06,$65.00 ,Private room,1,1,1
10864615,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.93,$51.00 ,Private room,1,1,1
4278650,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.58,$60.00 ,Private room,1,1,1
24859207,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.60,$60.00 ,Private room,1,1,1
22518773,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,18.62,$70.00 ,Private room,1,3,6
4164430,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.61,$70.00 ,Private room,1,1,1
25432662,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.64,$45.00 ,Private room,1,1,1
31195850,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,18.23,$75.00 ,Private room,1,0,1
20195913,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,17.45,$70.00 ,Private room,1,1,1
21031297,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.92,$75.00 ,Private room,1,1,2
31398161,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.06,$60.00 ,Private room,2,2,2
11345789,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,17.60,$59.00 ,Private room,1,1,2
10710807,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.22,$85.00 ,Entire home/apt,1,0,2
8800936,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.51,$85.00 ,Private room,1,1,1
4726947,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.95,$70.00 ,Private room,1,1,1
5863664,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,19.12,$80.00 ,Private room,1.5,1,1
28866210,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.42,$79.00 ,Private room,1,1,1
17372561,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.78,$70.00 ,Private room,1.5,1,1
23966274,Australia,NSW,BALLINA SHIRE COUNCIL,House,17.14,$50.00 ,Private room,1,1,1
19334835,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.78,$79.00 ,Entire home/apt,1,1,1
31323372,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.95,$65.00 ,Private room,1,1,1
23945043,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.78,$70.00 ,Private room,1,1,1
13520887,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.44,$75.00 ,Entire home/apt,1,2,2
10636849,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,19.42,$79.00 ,Entire home/apt,1,2,3
20488773,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,17.73,$79.00 ,Private room,1.5,1,1
17332087,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,18.29,$60.00 ,Private room,1.5,1,1
33721765,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,20.66,$89.00 ,Entire home/apt,1,0,1
18125752,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.30,$80.00 ,Entire home/apt,1,1,1
21505241,Australia,NSW,BALLINA SHIRE COUNCIL,House,18.57,$63.00 ,Private room,1,1,1
20196511,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,16.74,$60.00 ,Private room,1.5,1,1
794579,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,19.11,$65.00 ,Private room,1,1,1
798820,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,17.79,$75.00 ,Private room,1,1,1
20193547,Australia,NSW,BALLINA SHIRE COUNCIL,Guesthouse,20.19,$89.00 ,Private room,1.5,1,2
31361359,Australia,NSW,BALLINA SHIRE COUNCIL,House,16.89,$60.00 ,Private room,1,1,1
18048611,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.87,$75.00 ,Private room,1.5,1,1
7679991,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.66,$105.00 ,Private room,1,1,1
26675428,Australia,NSW,BALLINA SHIRE COUNCIL,Apartment,20.07,$110.00 ,Entire home/apt,1.5,2,2
30018658,Australia,NSW,BALLINA SHIRE COUNCIL,Guest suite,19.24,$79.00 ,Entire home/apt,1,1,1
2603464,Australia,New South Wales,BALLINA SHIRE COUNCIL,Guest suite,19.63,$112.00 ,Entire home/apt,1,0,1
6227098,Australia,NSW,BALLINA SHIRE COUNCIL,House,20.45,$99.00 ,Private room,1,1,1
10840058,Australia,NSW,BALLINA SHIRE COUNCIL,House,19.15,$89.00 ,Entire home/apt,1,1,1
4815324,Australia,New South Wales,BALLINA SHIRE COUNCIL,House,22.01,$111.00 ,Private room,1,1,2
